"","Adams","Cabot","Currier","Dunster","Kirkland","Leverett","Lowell","Mather","Pforzheimer","Quincy","Winthrop","month","year"
"1",18118,57470,30029,37560,27408,31400,45280,75000,67214,56862,0,1,2000
"2",8392,73431,30754,56400,33748,40000,64160,101000,89577,54798,0,2,2000
"3",13858,40799,21241,32415,33496,24300,42800,71000,51345,43518,0,3,2000
"4",27122,82834,35902,58484,63426,51000,70480,113000,91715,85710,0,4,2000
"5",38305,106777,46574,71364,79224,67800,88880,147000,118511,115722,0,5,2000
"6",21955,93312,39523,56122,65480,59100,79360,135000,105924,121500,0,6,2000
"7",19573,77982,34872,66165,56996,49200,61920,138000,85629,7236,0,7,2000
"8",29311,105728,47632,112167,55859,47600,88000,141000,120328,128796,0,8,2000
"9",23228,98718,46341,13833,69068,55200,80720,145000,113132,98184,0,9,2000
"10",31515,102858,52949,57742,57549,49900,80320,122000,88622,82638,0,10,2000
"11",30308,97117,40431,73649,69999,59600,62160,138000,108318,105006,0,11,2000
"12",35037,70300,27442,45616,49159,52700,68960,105000,81246,120780,0,12,2000
"13",11780,39288,23071,40320,36581,19100,46480,53000,56675,31872,0,13,2001
"14",12097,39245,22123,42360,40960,44200,37920,72000,50831,28776,0,14,2001
"15",13470,45074,18540,40907,32253,27700,54720,40667,51273,31464,0,15,2001
"16",29974,102157,55587,55626,61511,55500,120800,127786,89783,75792,0,16,2001
"17",33262,104402,46225,69335,75143,66900,129040,148413,109723,89334,0,17,2001
"18",32329,98075,43132,60240,64711,61200,114400,154374,103453,95832,0,18,2001
"19",29083,110202,50016,68365,63019,57100,110400,160334,100589,102534,0,19,2001
"20",28852,96742,45807,61203,62031,56400,108640,150401,94182,87444,0,20,2001
"21",32324,99285,46556,66947,65053,56500,114640,153393,96100,96060,0,21,2001
"22",25666,93039,42753,57591,57581,48900,95040,132079,91977,85608,0,22,2001
"23",32370,95368,39110,75840,70460,55700,120960,142083,100516,93756,0,23,2001
"24",24766,73869,31442,45840,48954,39900,78000,109747,82622,72834,0,24,2001
"25",16989,37264,23591,48960,42660,29000,57760,89562,48082,60714,0,25,2002
"26",17372,40456,22731,45240,44562,29100,60000,80946,51475,54012,0,26,2002
"27",17906,55970,21511,42660,40479,31200,70880,90854,57041,56652,0,27,2002
"28",28988,118035,58682,69977,87371,57100,107920,135180,89647,99228,0,28,2002
"29",29321,98633,38099,67130,43782,60400,113440,136411,90908,94050,0,29,2002
"30",29821,93546,36428,62917,60202,56000,112320,129296,83573,91776,0,30,2002
